ID,Difference
0x0000000000000b87,0.357632
0x0000000000000b88,0.382464
0x0000000000000b89,0.379392
0x0000000000000b8a,0.375552
0x0000000000000b8b,0.361984
0x0000000000000b8c,0.38016
0x0000000000000b8d,0.37248
0x0000000000000b8e,0.364032
0x0000000000000b8f,0.38016
0x0000000000000b90,0.66688
0x0000000000000b91,0.37376
0x0000000000000b92,0.361472
0x0000000000000b93,0.379136
0x0000000000000b94,0.379392
0x0000000000000b95,0.363264
0x0000000000000b96,0.379136
0x0000000000000b97,0.372224
0x0000000000000b98,0.35968
0x0000000000000b99,0.358912
0x0000000000000b9a,0.375296
0x0000000000000b9b,0.379136
0x0000000000000b9c,0.36352
0x0000000000000b9d,0.379392
0x0000000000000b9e,0.38016
0x0000000000000b9f,0.363008
0x0000000000000ba0,0.359168
0x0000000000000ba1,0.370688
0x0000000000000ba2,0.371712
0x0000000000000ba3,0.36096
0x0000000000000ba4,0.38144
0x0000000000000ba5,0.380928
0x0000000000000ba6,0.362496
0x0000000000000ba7,0.378624
0x0000000000000ba8,0.381952
0x0000000000000ba9,0.358912
0x0000000000000baa,0.358912
0x0000000000000bab,0.370944
0x0000000000000bac,0.372736
0x0000000000000bad,0.370176
0x0000000000000bae,0.381184
0x0000000000000baf,0.379904
0x0000000000000bb0,0.375296
0x0000000000000bb1,0.361472
0x0000000000000bb2,0.38016
0x0000000000000bb3,0.372224
0x0000000000000bb4,0.357888
0x0000000000000bb5,0.36992
0x0000000000000bb6,0.381184
0x0000000000000bb7,0.379648
0x0000000000000bb8,0.365056
0x0000000000000bb9,0.381696
0x0000000000000bba,0.359424
0x0000000000000bbb,0.356864
0x0000000000000bbc,0.379392
0x0000000000000bbd,0.38016
0x0000000000000bbe,0.379392
0x0000000000000bbf,0.361216
0x0000000000000bc0,0.382208
0x0000000000000bc1,0.378368
0x0000000000000bc2,0.361728
0x0000000000000bc3,0.379648
0x0000000000000bc4,0.380416
0x0000000000000bc5,0.38016
0x0000000000000bc6,0.361472
0x0000000000000bc7,0.95488
0x0000000000000bc8,0.659712
0x0000000000000bc9,0.68352
0x0000000000000bca,0.363008
0x0000000000000bcb,0.380416
0x0000000000000bcc,0.681472
0x0000000000000bcd,0.381184
0x0000000000000bce,0.374528
0x0000000000000bcf,0.378368
0x0000000000000bd0,0.360192
0x0000000000000bd1,0.378368
0x0000000000000bd2,0.38144
0x0000000000000bd3,0.680448
0x0000000000000bd4,0.675072
0x0000000000000bd5,0.667136
0x0000000000000bd6,0.38016
0x0000000000000bd7,0.360704
0x0000000000000bd8,0.38144
0x0000000000000bd9,0.381952
0x0000000000000bda,0.361984
0x0000000000000bdb,0.379392
0x0000000000000bdc,0.38144
0x0000000000000bdd,0.357888
0x0000000000000bde,0.35712
0x0000000000000bdf,0.378112
0x0000000000000be0,0.381696
0x0000000000000be1,0.361984
0x0000000000000be2,0.380928
0x0000000000000be3,0.380672
0x0000000000000be4,0.379904
0x0000000000000be5,0.361728
0x0000000000000be6,0.38016
0x0000000000000be7,0.379648
0x0000000000000be8,0.365824
0x0000000000000be9,0.38016
0x0000000000000bea,0.382464
0x0000000000000beb,0.363008
0x0000000000000bec,0.373504
